Fluss;Land;_area;_length;dissolve;scalerank;featurecla;name_alt;rivernum;note;labelrank;sov_a3;adm0_dif;level;type;admin;adm0_a3;geou_dif;geounit;gu_a3;su_dif;subunit;su_a3;brk_diff;name_long;brk_a3;brk_name;brk_group;abbrev;postal;formal_en;formal_fr;note_adm0;note_brk;name_sort;mapcolor7;mapcolor8;mapcolor9;mapcolor13;pop_est;gdp_md_est;pop_year;lastcensus;gdp_year;economy;income_grp;wikipedia;fips_10;iso_a2;iso_a3;iso_n3;un_a3;wb_a2;wb_a3;woe_id;adm0_a3_is;adm0_a3_us;adm0_a3_un;adm0_a3_wb;continent;region_un;subregion;region_wb;name_len;long_len;abbrev_len;tiny;homepart
Javari;Brazil;707,1029865;13784,79751;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;14734,59166;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;5318,762574;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;1813,595628;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;23838,92491;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;3873,862343;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;7109,94477;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;12815,2542;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;6555,501591;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;7669,10655;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;11831,66541;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;12164,77418;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;5379,285313;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;2,16E-07;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Peru;106,4170892;38663,37681;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;5831,410836;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;5430,952444;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;6250,639591;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;8787,761402;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;5086,221714;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;7441,831421;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;7197,02568;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;10629,84868;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;131,9712684;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;178,9714523;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;1436,351001;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;4676,659725;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;3888,961919;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;28905,2148;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;2443,314811;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;6851,256272;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;4770,307245;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;4953,849674;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;4131,50968;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;35291,96642;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;2304,036372;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;97408,93764;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;2419,07125;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;972,3055424;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;1063,061995;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;11423,32578;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Javari;Brazil;707,1029865;1505,311331;642River;8;River;;642;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Javari;Peru;106,4170892;279701,575;642River;8;River;;642;;2;PER;0;2;Sovereign country;Peru;PER;0;Peru;PER;0;Peru;PER;0;Peru;PER;Peru;;Peru;PE;Republic of Peru;;;;Peru;4;4;4;11;29546963;247300;-99;2007;-99;5. Emerging region: G20;3. Upper middle income;-99;;PE;PER;604;604;PE;PER;-99;PER;PER;-99;-99;South America;Americas;South America;Latin America & Caribbean;4;4;4;-99;1
Uruguay;Uruguay;17,07623257;190633,2006;641River;8;River;;641;;4;URY;0;2;Sovereign country;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;Uruguay;;Ury.;UY;Oriental Republic of Uruguay;;;;Uruguay;1;2;2;10;3494382;43160;-99;2004;-99;5. Emerging region: G20;3. Upper middle income;-99;;UY;URY;858;858;UY;URY;-99;URY;URY;-99;-99;South America;Americas;South America;Latin America & Caribbean;7;7;4;-99;1
Brazil;Brazil;707,1029865;54627,57739;641River;8;River;;641;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Uruguay;Uruguay;17,07623257;10993,62674;641Lake Centerline;8;Lake Centerline;;641;;4;URY;0;2;Sovereign country;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;Uruguay;;Ury.;UY;Oriental Republic of Uruguay;;;;Uruguay;1;2;2;10;3494382;43160;-99;2004;-99;5. Emerging region: G20;3. Upper middle income;-99;;UY;URY;858;858;UY;URY;-99;URY;URY;-99;-99;South America;Americas;South America;Latin America & Caribbean;7;7;4;-99;1
Brazil;Brazil;707,1029865;57120,1873;641Lake Centerline;8;Lake Centerline;;641;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Uruguay;Uruguay;17,07623257;16367,66807;641Lake Centerline;8;Lake Centerline;;641;;4;URY;0;2;Sovereign country;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;0;Uruguay;URY;Uruguay;;Ury.;UY;Oriental Republic of Uruguay;;;;Uruguay;1;2;2;10;3494382;43160;-99;2004;-99;5. Emerging region: G20;3. Upper middle income;-99;;UY;URY;858;858;UY;URY;-99;URY;URY;-99;-99;South America;Americas;South America;Latin America & Caribbean;7;7;4;-99;1
Brazil;Brazil;707,1029865;99319,27971;641Lake Centerline;8;Lake Centerline;;641;;2;BRA;0;2;Sovereign country;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;0;Brazil;BRA;Brazil;;Brazil;BR;Federative Republic of Brazil;;;;Brazil;5;6;5;7;198739269;1993000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;BR;BRA;76;76;BR;BRA;-99;BRA;BRA;-99;-99;South America;Americas;South America;Latin America & Caribbean;6;6;6;-99;1
Canada;Canada;1691,869075;41518,54304;640River;8;River;;640;;2;CAN;0;2;Sovereign country;Canada;CAN;0;Canada;CAN;0;Canada;CAN;0;Canada;CAN;Canada;;Can.;CA;Canada;;;;Canada;6;6;2;2;33487208;1300000;-99;2011;-99;1. Developed region: G7;1. High income: OECD;-99;;CA;CAN;124;124;CA;CAN;-99;CAN;CAN;-99;-99;North America;Americas;Northern America;North America;6;6;4;-99;1
Canada;Canada;1691,869075;57556,4136;640Lake Centerline;8;Lake Centerline;;640;;2;CAN;0;2;Sovereign country;Canada;CAN;0;Canada;CAN;0;Canada;CAN;0;Canada;CAN;Canada;;Can.;CA;Canada;;;;Canada;6;6;2;2;33487208;1300000;-99;2011;-99;1. Developed region: G7;1. High income: OECD;-99;;CA;CAN;124;124;CA;CAN;-99;CAN;CAN;-99;-99;North America;Americas;Northern America;North America;6;6;4;-99;1
Shiquan;China;951,1218109;357435,3402;63River;3;River;;63;;2;CH1;1;2;Country;China;CHN;0;China;CHN;0;China;CHN;0;China;CHN;China;;China;CN;People's Republic of China;;;;China;4;4;4;3;1338612970;7973000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;CN;CHN;156;156;CN;CHN;-99;CHN;CHN;-99;-99;Asia;Asia;Eastern Asia;East Asia & Pacific;5;5;5;-99;1
Iliamna Lake Outlet;United States of America;1116,361765;129997,7441;639River;8;River;;639;;2;US1;1;2;Country;United States of America;USA;0;United States of America;USA;0;United States of America;USA;0;United States;USA;United States;;U.S.A.;US;United States of America;;;;United States of America;4;5;1;1;313973000;15094000;0;2010;0;1. Developed region: G7;1. High income: OECD;0;;US;USA;840;840;US;USA;-99;USA;USA;-99;-99;North America;Americas;Northern America;North America;13;13;6;-99;1
Paraguay;Paraguay;35,30339202;38925,57609;637River;8;River;;637;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Chao Phraya;Thailand;43,32390291;261153,4172;636River;7;River;;636;;3;THA;0;2;Sovereign country;Thailand;THA;0;Thailand;THA;0;Thailand;THA;0;Thailand;THA;Thailand;;Thai.;TH;Kingdom of Thailand;;;;Thailand;3;6;8;1;65905410;547400;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;TH;THA;764;764;TH;THA;-99;THA;THA;-99;-99;Asia;Asia;South-Eastern Asia;East Asia & Pacific;8;8;5;-99;1
Chao Phraya;Thailand;43,32390291;327768,7968;636River;7;River;;636;;3;THA;0;2;Sovereign country;Thailand;THA;0;Thailand;THA;0;Thailand;THA;0;Thailand;THA;Thailand;;Thai.;TH;Kingdom of Thailand;;;;Thailand;3;6;8;1;65905410;547400;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;TH;THA;764;764;TH;THA;-99;THA;THA;-99;-99;Asia;Asia;South-Eastern Asia;East Asia & Pacific;8;8;5;-99;1
Russia;Russia;2925,892323;457024,432;635River;7;River;;635;;2;RUS;0;2;Sovereign country;Russia;RUS;0;Russia;RUS;0;Russia;RUS;0;Russian Federation;RUS;Russia;;Rus.;RUS;Russian Federation;;;;Russian Federation;2;5;7;7;140041247;2266000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;RU;RUS;643;643;RU;RUS;-99;RUS;RUS;-99;-99;Europe;Europe;Eastern Europe;Europe & Central Asia;6;18;4;-99;1
Russia;Russia;2925,892323;755482,9281;635River;7;River;;635;;2;RUS;0;2;Sovereign country;Russia;RUS;0;Russia;RUS;0;Russia;RUS;0;Russian Federation;RUS;Russia;;Rus.;RUS;Russian Federation;;;;Russian Federation;2;5;7;7;140041247;2266000;-99;2010;-99;3. Emerging region: BRIC;3. Upper middle income;-99;;RU;RUS;643;643;RU;RUS;-99;RUS;RUS;-99;-99;Europe;Europe;Eastern Europe;Europe & Central Asia;6;18;4;-99;1
